Id,Label,type,budget,zip,interestPercentage
R002180,SAP SE,Unternehmen,2210000.0,69190.0,0.1147540983606557
R005093,Zentralverband des Deutschen Baugewerbes e.V.,Verein/Verband,2180000.0,10117.0,0.0454545454545454
R002808,ESJF Gemeinnützige Gesellschaft zum Schutz und zur Erhaltung jüdischer Friedhöfe in Europa mbH,Unternehmen,2180000.0,60311.0,0.0
R001591,Deutsche Krankenhausgesellschaft e.V.,Verein/Verband,2150000.0,10623.0,0.0
R000211,Pro Generika e.V.,Verein/Verband,2110000.0,10117.0,0.0
R001794,Google Germany GmbH,Unternehmen,2110000.0,20354.0,0.1944444444444444
R001828,thyssenkrupp Steel Europe AG,Unternehmen,2080000.0,47166.0,0.0
R000965,BVI Bundesverband Investment und Asset Management,Verein/Verband,2070000.0,60322.0,0.0
R002425,Wirtschaftsvereinigung Stahl,Verein/Verband,2040000.0,10117.0,0.0555555555555555
R002249,Bayer AG,Unternehmen,1990000.0,51373.0,0.0
R001868,Natur und Medizin e.V.,Verein/Verband,1980000.0,45276.0,0.0
R001662,Deutsche Bahn,Unternehmen,1950000.0,10785.0,0.0704225352112676
R003595,Life Science Nord Management GmbH,Verein/Verband,1930000.0,20251.0,0.0
R001889,Wintershall Dea AG,Unternehmen,1910000.0,34119.0,0.0
R000473,Industrie-Förderung Gesellschaft mbH,Unternehmen,1890000.0,10178.0,0.0
R002552,Zentralverband der Deutschen Elektro- und Informationstechnischen Handwerke ZVEH,Verein/Verband,1850000.0,60487.0,0.0754716981132075
R000885,Wirtschaftsverband Fuels und Energie e.V. - en2x -,Verein/Verband,1850000.0,10117.0,0.0
R002265,Zentralverband des Deutschen Handwerks (ZDH),Verein/Verband,1850000.0,10117.0,0.0
R001837,VCD (Verkehrsclub Deutschland) e.V.,Verein/Verband,1850000.0,10179.0,0.0
R001463,Bundesverband der Pharmazeutischen Industrie e.V.,Verein/Verband,1830000.0,10117.0,0.0
R001144,World Vision Deutschland e. V.,Verein/Verband,1830000.0,61381.0,0.0
R000896,Deutscher Caritasverband e. V.,Verein/Verband,1770000.0,79104.0,0.0606060606060606
R002571,LANXESS AG,Unternehmen,1760000.0,50569.0,0.0344827586206896
R002123,Daimler Truck  AG,Unternehmen,1720000.0,70771.0,0.0
R002477,Amprion GmbH,Unternehmen,1690000.0,44263.0,0.0714285714285714
R001142,Pfizer Pharma GmbH,Unternehmen,1680000.0,10785.0,0.0714285714285714
R001413,Rud Pedersen Public Affairs Germany GmbH,Consulting,1660000.0,10117.0,0.106060606060606
R004039,Deutsch-Italienische Handelskammer (AHK Italien),Verein/Verband,1630000.0,,0.0
R001114,Deutsche Post AG,Unternehmen,1630000.0,53113.0,0.1153846153846153
R001579,WWF Deutschland,Verein/Verband,1620000.0,10117.0,0.0
R005624,new direction,Unternehmen,1600000.0,86356.0,0.3333333333333333
R000815,Verband der Privaten Krankenversicherung e.V.,Verein/Verband,1600000.0,10557.0,0.0
R000952,Deutscher Anwaltverein e.V. ,Verein/Verband,1580000.0,10179.0,0.0
R001109,Janssen-Cilag GmbH,Unternehmen,1550000.0,41470.0,0.1142857142857142
R000756,MSLGROUP Germany GmbH,Consulting,1520000.0,10629.0,0.0879120879120879
R001814,R+V Versicherung AG,Unternehmen,1500000.0,65189.0,0.0
R001361,Bundeszahnärztekammer - Arbeitsgemeinschaft der deutschen Zahnärztekammern e.V. (BZÄK),Verein/Verband,1490000.0,10115.0,0.0
R001232,STEAG GmbH,Unternehmen,1480000.0,45128.0,0.03125
R001376,Deutscher Raiffeisenverband e.V.,Verein/Verband,1470000.0,10117.0,0.0
R004379,Bildungsgenossenschaft Südniedersachsen eG,Verein/Verband,1450000.0,37073.0,0.0
R003459,SHS - Stahl-Holding-Saar GmbH & Co. KGaA,Unternehmen,1450000.0,66763.0,0.0
R001924,Bundesverband der Tabakwirtschaft und neuartiger Erzeugnisse (BVTE),Verein/Verband,1440000.0,10117.0,0.05
R002270,Deutscher Handwerkskammertag,Verein/Verband,1440000.0,10117.0,0.0
R000008,TÜV-Verband e.V.,Verein/Verband,1420000.0,10117.0,0.0888888888888888
R001789,EDEKA Zentrale Stiftung & Co. KG,Unternehmen,1400000.0,22297.0,0.0
R001881,Deutscher Kulturrat e.V.,Verein/Verband,1390000.0,10115.0,0.1071428571428571
R001732,Vodafone GmbH,Unternehmen,1380000.0,40549.0,0.2413793103448276
R002614,Wirtschaftsvereinigung Metalle e.V.,Verein/Verband,1380000.0,10179.0,0.0519480519480519
R001622,Bundesverband der Deutschen Luft- und Raumfahrtindustrie e. V. (BDLI),Verein/Verband,1360000.0,10117.0,0.0333333333333333
R001667,NABU (Naturschutzbund Deutschland) e.V.,Verein/Verband,1360000.0,10117.0,0.0
R001842,IBM Deutschland GmbH,Unternehmen,1360000.0,71139.0,0.1538461538461538
R001717,Allianz Versicherungs-AG,Unternehmen,1320000.0,80802.0,0.0
R000549,Verein Deutscher Zementwerke e.V.,Verein/Verband,1320000.0,40476.0,0.0
R001503,Merck KGaA,Unternehmen,1320000.0,64293.0,0.1111111111111111
R000144,Philip Morris GmbH,Unternehmen,1310000.0,82166.0,0.0555555555555555
R002238,Meta Platforms Ireland Limited,Unternehmen,1290000.0,,0.35
R000739,Bundesverband der Arzneimittel-Hersteller (BAH) e.V.,Verein/Verband,1260000.0,53173.0,0.0
R000084,Deutsches Verkehrsforum,Verein/Verband,1250000.0,10785.0,0.0476190476190476
R002055,VIK Verband der Industriellen Energie- und Kraftwirschaft e.V. ,Verein/Verband,1250000.0,10117.0,0.0
R002277,Telefónica Germany GmbH & Co. OHG,Unternehmen,1230000.0,10117.0,0.14
R002296,Salzgitter AG (Holding) ,Unternehmen,1210000.0,38239.0,0.0
R002018,Rheinmetall AG,Unternehmen,1210000.0,40476.0,0.0303030303030303
R001647,TenneT TSO GmbH,Unternehmen,1210000.0,95448.0,0.0689655172413793
R002164,ING-DiBa AG,Unternehmen,1210000.0,60486.0,0.2
R001348,Shell Deutschland GmbH,Unternehmen,1210000.0,22335.0,0.0
R002106,Fachverband Biogas e.V.,Verein/Verband,1200000.0,85356.0,0.0
R001718,Allianz Lebensversicherungs-AG,Unternehmen,1200000.0,70178.0,0.0
R001609,Bundesverband Rind und Schwein e. V.,,1200000.0,53113.0,0.0
R000931,Bristol-Myers Squibb GmbH & Co. KGaA,Unternehmen,1200000.0,80636.0,0.1111111111111111
R001894,Vonovia SE,Unternehmen,1200000.0,44803.0,0.0
R001871,Ford-Werke GmbH,Unternehmen,1190000.0,10117.0,0.0681818181818181
R002160,Amazon Deutschland Services GmbH,Unternehmen,1190000.0,80807.0,0.1395348837209302
R000924,Familienbetriebe Land und Forst e.V.,Verein/Verband,1180000.0,10117.0,0.0
